PLAYER,TEAM,AGE,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",BLK,BLKA,PF,PFD,
Pat Connaughton,MIL,29,65,41,24,26.0,1.4,1.0,1.1,2.3,8.3,6.7,5.8,23.4,0.2,0.2,1.3,0.9,
Taj Gibson,NYK,36,52,24,28,18.2,0.6,1.1,0.1,2.3,5.1,5.3,3.9,15.0,0.8,0.2,2.6,0.9,
Boban Marjanovic,DAL,33,23,15,8,5.6,0.4,0.7,0.0,3.0,2.3,0.8,1.3,4.0,0.1,0.2,1.0,0.9,
Dorian Finney-Smith,DAL,29,80,51,29,33.0,1.5,1.1,1.6,3.7,9.3,8.7,8.1,32.2,0.5,0.3,2.3,0.9,
Ayo Dosunmu,CHI,22,77,42,35,27.4,1.8,0.5,2.2,4.3,9.6,7.1,7.2,29.3,0.4,0.5,2.4,0.9,
Louis King,SAC,23,10,2,8,10.4,0.7,0.3,0.5,0.6,3.8,3.6,3.0,11.0,0.1,0.1,1.4,0.9,
DeAndre Jordan,PHI,33,48,26,22,13.0,0.4,1.1,0.3,3.8,5.4,3.9,5.4,12.9,0.7,0.1,1.5,0.9,
Garrett Temple,NOP,36,59,23,36,18.6,0.9,0.7,1.0,1.5,6.9,5.5,4.6,17.7,0.4,0.2,1.4,0.9,
Daishen Nix,HOU,20,24,3,21,10.9,0.3,0.2,0.4,1.7,5.5,3.1,3.3,12.8,0.0,0.3,0.9,0.9,
Lamar Stevens,CLE,24,63,35,28,16.1,1.0,0.6,0.9,3.7,5.9,4.1,4.0,15.3,0.3,0.4,1.7,0.9,
David Duke Jr.,BKN,22,22,10,12,15.5,0.8,1.4,0.9,2.5,4.2,4.3,3.9,15.0,0.3,0.5,1.6,0.9,
Doug McDermott,SAS,30,51,21,30,24.0,1.2,1.2,1.8,3.5,7.8,7.8,6.7,26.6,0.1,0.5,1.5,0.9,
James Ennis III,DEN,31,7,3,4,7.9,1.0,0.3,0.6,2.3,2.7,2.3,1.6,8.6,0.3,0.1,0.7,0.9,
Jock Landale,SAS,26,54,24,30,10.9,0.5,1.0,0.3,2.5,4.1,4.1,3.0,10.9,0.3,0.2,1.0,0.9,
Santi Aldama,MEM,21,32,20,12,11.2,0.4,1.3,0.8,2.9,3.3,3.0,3.7,11.8,0.3,0.2,1.1,0.8,
Bryn Forbes,DEN,28,75,36,39,17.1,1.2,0.7,1.0,1.5,6.0,4.5,3.8,16.5,0.1,0.4,1.3,0.8,
Jordan McLaughlin,MIN,26,62,36,26,14.5,0.8,0.3,0.9,1.8,4.8,4.4,3.5,14.2,0.2,0.2,0.9,0.8,
Sam Merrill,MEM,25,6,2,4,9.6,1.0,0.0,0.0,0.3,1.8,3.3,4.7,10.0,0.0,0.0,0.5,0.8,
Tyrone Wallace,NOP,27,6,4,2,12.5,0.7,0.0,0.0,1.7,4.8,3.2,2.5,15.3,0.2,0.2,1.2,0.8,
Ziaire Williams,MEM,20,62,41,21,21.7,1.5,1.3,2.2,2.9,6.7,6.0,6.3,23.6,0.2,0.3,1.8,0.8,
Juan Toscano-Anderson,GSW,29,73,51,22,13.6,0.6,0.4,0.5,2.4,5.3,4.1,3.3,11.6,0.2,0.3,1.6,0.8,
Rajon Rondo,CLE,36,39,16,23,17.9,0.4,0.2,0.4,1.7,6.7,5.1,5.8,17.4,0.2,0.3,1.4,0.8,
Keita Bates-Diop,SAS,26,59,23,36,16.2,0.8,1.3,0.8,3.8,5.8,5.2,3.8,16.5,0.2,0.4,1.0,0.8,
Ignas Brazdeikis,ORL,23,42,9,33,12.8,0.6,0.5,0.4,2.4,4.6,4.1,3.4,12.8,0.1,0.3,1.1,0.8,
Jericho Sims,NYK,23,41,19,22,13.5,0.6,0.5,0.0,1.9,4.3,3.2,2.8,12.5,0.5,0.0,1.6,0.8,
Georges Niang,PHI,28,76,48,28,22.8,1.1,1.0,0.8,2.2,7.8,5.9,7.2,20.8,0.2,0.4,2.5,0.8,
Chaundee Brown Jr.,ATL,23,5,1,4,20.7,0.6,0.8,0.4,1.2,7.0,3.8,7.2,22.4,0.0,0.6,1.4,0.8,
Justin Robinson,DET,24,25,13,12,12.1,0.6,0.2,0.6,0.6,5.2,3.5,3.8,13.3,0.0,0.0,1.1,0.8,
Neemias Queta,SAC,22,15,4,11,8.0,0.6,0.7,0.3,2.3,3.4,2.0,1.3,7.2,0.5,0.2,1.2,0.8,
Trevor Ariza,LAL,36,24,8,16,19.3,0.3,0.6,0.5,1.1,6.8,5.0,7.1,21.3,0.3,0.1,0.8,0.8,
James Johnson,BKN,35,62,30,32,19.2,0.6,0.7,0.4,3.8,6.8,5.9,4.9,17.6,0.5,0.3,2.6,0.8,
Kyle Guy,MIA,24,19,15,4,9.8,0.6,0.2,0.2,0.7,4.6,2.5,3.2,9.2,0.1,0.2,0.6,0.8,
Kevin Huerter,ATL,23,74,40,34,29.6,1.9,1.1,1.6,3.7,9.4,7.8,8.0,30.4,0.4,0.3,2.5,0.8,
Marko Simonovic,CHI,22,9,4,5,3.9,0.4,0.3,0.2,0.7,1.3,1.9,1.6,3.8,0.1,0.3,0.7,0.8,
Josh Green,DAL,21,67,44,23,15.5,0.8,0.5,1.1,2.8,5.4,4.1,3.6,15.7,0.2,0.3,1.7,0.8,
Enes Freedom,BOS,29,35,20,15,11.8,0.4,1.8,0.1,2.6,3.5,3.3,2.7,9.9,0.4,0.5,1.2,0.8,
Romeo Langford,SAS,22,48,24,24,16.1,0.6,0.7,0.3,2.0,5.1,4.5,3.7,14.3,0.3,0.3,1.0,0.8,
Thanasis Antetokounmpo,MIL,29,48,26,22,9.9,0.5,0.9,0.4,2.8,3.6,3.3,3.6,10.6,0.3,0.3,1.4,0.8,
Semi Ojeleye,LAC,27,30,14,16,13.5,0.6,0.8,0.2,0.9,5.6,4.0,3.9,14.1,0.2,0.3,1.0,0.8,
Markieff Morris,MIA,32,17,10,7,17.5,1.1,0.6,0.6,3.1,6.1,3.7,5.0,16.0,0.1,0.1,1.9,0.8,
Paul Millsap,PHI,37,33,22,11,11.4,0.5,1.1,0.1,2.1,3.9,3.2,4.2,11.3,0.4,0.2,2.0,0.8,
Gabriel Lundberg,PHX,27,4,1,3,11.1,0.5,0.0,0.0,0.0,5.0,2.0,1.0,9.0,0.0,0.5,1.8,0.8,
Jordan Schakel,WAS,23,4,1,3,7.6,0.0,0.0,0.0,0.0,3.8,1.5,2.3,5.5,0.0,0.5,0.0,0.8,
Nicolas Batum,LAC,33,59,31,28,24.8,1.4,0.6,1.0,1.6,8.4,7.6,6.4,26.1,0.7,0.1,1.4,0.7,
Luke Kennard,LAC,25,70,35,35,27.4,1.6,1.2,1.2,1.7,9.2,8.1,7.4,28.4,0.1,0.2,1.4,0.7,
Matisse Thybulle,PHI,25,66,43,23,25.5,1.2,0.5,1.2,3.2,7.3,6.9,7.3,26.2,1.1,0.1,2.4,0.7,
James Bouknight,CHA,21,31,15,16,9.8,0.6,0.7,0.8,1.9,3.6,3.7,3.0,9.5,0.0,0.5,0.9,0.7,
Trent Forrest,UTA,23,60,36,24,12.8,0.4,0.3,0.2,2.2,4.4,3.1,3.1,11.7,0.1,0.2,0.7,0.7,
Gary Payton II,GSW,29,71,47,24,17.6,1.6,1.0,1.5,4.7,5.9,4.8,4.0,16.1,0.3,0.1,1.8,0.7,
Jarrett Culver,MEM,23,37,28,9,9.1,0.9,0.6,0.6,1.6,2.9,2.4,3.0,10.3,0.1,0.2,1.1,0.7,
Tacko Fall,CLE,26,11,4,7,5.3,0.1,0.3,0.2,0.9,1.2,1.9,1.3,3.1,0.5,0.1,0.3,0.7,
Joe Harris,BKN,30,14,10,4,30.2,1.4,0.6,1.6,1.9,13.9,8.3,11.5,29.0,0.1,0.4,2.2,0.7,
Trey Burke,DAL,29,42,24,18,10.5,0.9,0.2,0.6,1.6,3.9,2.6,2.6,9.8,0.0,0.1,0.9,0.7,
Jordan Nwora,MIL,23,62,34,28,19.1,1.6,1.0,1.0,2.7,6.7,5.7,5.9,19.1,0.3,0.3,1.3,0.7,
Trey Murphy III,NOP,21,62,31,31,13.9,1.0,1.2,0.9,1.2,4.9,3.5,3.7,12.8,0.1,0.2,1.0,0.7,
Ish Smith,WAS,33,65,27,38,17.3,0.9,0.5,0.4,2.6,5.9,5.2,4.9,16.3,0.4,0.3,1.2,0.7,
Malachi Flynn,TOR,24,44,25,19,12.2,0.6,0.6,0.5,1.3,3.4,4.3,2.9,11.9,0.1,0.2,1.0,0.7,
Nick Richards,CHA,24,50,25,25,7.3,0.4,0.6,0.4,2.3,3.0,2.3,2.3,6.1,0.4,0.2,1.0,0.7,
Davis Bertans,DAL,29,56,32,24,14.4,0.8,0.3,0.5,0.7,4.3,4.4,1.9,14.5,0.2,0.1,1.5,0.7,
Timothe Luwawu-Cabarrot,ATL,27,52,30,22,13.2,0.8,0.4,0.5,1.1,5.1,2.8,3.9,12.5,0.1,0.2,1.5,0.7,
Torrey Craig,PHX,31,78,36,42,20.5,1.1,1.1,1.4,2.9,7.1,5.5,5.7,20.7,0.5,0.2,1.9,0.7,
Serge Ibaka,MIL,32,54,30,24,16.3,0.6,1.2,0.4,3.4,5.7,4.1,4.1,15.7,0.6,0.2,1.9,0.7,
DeAndre' Bembry,MIL,27,56,31,25,18.3,1.2,0.5,1.0,3.9,6.2,5.4,5.3,18.8,0.4,0.4,2.0,0.7,
Austin Rivers,DEN,29,67,41,26,22.1,0.7,0.4,0.6,2.0,8.3,5.6,5.6,22.1,0.1,0.2,1.8,0.7,
Bruno Fernando,HOU,23,30,15,15,5.1,0.3,1.0,0.1,2.2,2.3,1.5,1.5,4.7,0.4,0.2,0.8,0.7,
Cameron McGriff,POR,24,3,0,3,15.3,0.0,2.3,0.7,2.0,4.3,5.3,2.0,12.0,0.3,0.0,2.3,0.7,
Derrick Favors,OKC,30,39,15,24,16.7,0.6,0.9,0.1,3.5,5.1,3.7,3.4,13.9,0.3,0.2,1.6,0.7,
Jaylen Morris,SAS,26,3,0,3,5.3,0.0,0.0,0.0,0.0,1.3,0.7,1.7,5.3,0.0,0.3,0.7,0.7,
Tremont Waters,WAS,24,3,0,3,16.8,0.7,0.0,0.0,0.7,10.0,6.3,2.7,12.7,0.0,0.0,1.3,0.7,
Vit Krejci,OKC,21,30,8,22,23.0,1.1,0.3,0.8,2.2,8.3,7.2,5.2,24.0,0.3,0.3,2.2,0.7,
Wayne Selden,NYK,27,3,2,1,6.4,0.3,0.0,0.0,0.0,1.7,1.7,3.0,7.3,0.0,0.3,0.3,0.7,
Gorgui Dieng,ATL,32,44,23,21,8.4,0.3,0.4,0.1,0.6,3.3,2.0,2.2,8.1,0.3,0.1,1.2,0.7,
John Konchar,MEM,26,72,48,24,17.9,0.8,1.3,1.0,2.2,5.1,5.0,4.8,17.1,0.3,0.1,1.3,0.6,
Devon Dotson,CHI,22,11,5,6,7.7,0.5,0.2,0.7,1.6,2.7,1.8,1.6,6.7,0.0,0.2,1.0,0.6,
Moses Moody,GSW,19,52,35,17,11.7,0.5,0.5,0.3,1.3,4.7,3.2,4.2,10.8,0.2,0.1,0.8,0.6,
Isaiah Livers,DET,23,19,8,11,20.2,1.2,0.6,0.8,1.1,6.9,4.9,4.8,22.7,0.4,0.2,1.9,0.6,
Dalano Banton,TOR,22,64,37,27,10.9,0.6,0.6,0.5,1.9,3.4,2.9,2.4,8.8,0.2,0.3,1.1,0.6,
Joe Ingles,POR,34,45,28,17,24.9,0.9,0.4,0.8,1.6,8.6,6.3,6.2,24.3,0.1,0.2,1.8,0.6,
Frank Ntilikina,DAL,23,58,34,24,11.8,0.7,0.5,0.3,1.1,3.5,3.3,3.2,11.1,0.1,0.2,1.1,0.6,
D.J. Augustin,LAL,34,55,15,40,16.1,0.8,0.3,0.7,0.9,6.7,4.9,5.5,17.6,0.0,0.2,0.7,0.6,
Tony Bradley,CHI,24,55,28,27,10.0,0.5,0.7,0.2,2.4,3.3,2.9,2.5,9.7,0.6,0.3,1.1,0.6,
Kent Bazemore,LAL,32,39,16,23,14.0,0.7,0.2,0.7,0.7,4.7,4.7,3.7,13.6,0.2,0.0,1.8,0.6,
Corey Kispert,WAS,23,77,31,46,23.4,1.2,1.1,1.0,2.9,6.8,5.8,5.0,23.5,0.3,0.3,1.2,0.6,
Charles Bassey,PHI,21,23,11,12,7.3,0.1,1.1,0.1,2.5,3.0,2.1,2.6,5.9,0.7,0.1,1.4,0.6,
Dean Wade,CLE,25,51,27,24,19.2,0.8,0.5,0.5,1.6,6.6,4.3,4.7,17.7,0.1,0.1,1.7,0.6,
Aleem Ford,ORL,24,5,2,3,14.7,0.4,0.0,0.4,1.6,6.4,7.8,2.0,16.0,0.0,0.2,1.4,0.6,
Devin Cannady,ORL,25,5,2,3,28.9,1.8,1.4,1.2,0.0,8.8,8.2,6.8,26.8,0.6,0.6,1.8,0.6,
Isaiah Joe,PHI,22,55,35,20,11.1,0.6,0.5,0.2,0.4,3.9,3.2,2.9,9.8,0.1,0.1,0.9,0.6,
Jared Harper,NOP,24,5,2,3,8.6,1.6,2.0,1.0,2.0,1.4,4.4,1.2,8.4,0.2,0.2,1.0,0.6,
Udoka Azubuike,UTA,22,17,11,6,11.5,0.4,0.6,0.0,4.4,3.2,3.9,2.8,9.2,0.6,0.1,1.5,0.6,
Kira Lewis Jr.,NOP,21,24,6,18,14.2,1.0,0.5,1.3,3.5,5.6,4.0,3.7,13.8,0.0,0.3,0.7,0.6,
Malcolm Hill,CHI,26,19,8,11,11.2,0.5,0.5,0.7,0.8,4.2,2.0,4.2,12.6,0.2,0.1,1.3,0.6,
Maurice Harkless,SAC,28,47,15,32,18.4,0.6,0.7,0.4,2.2,7.0,4.9,5.3,19.3,0.5,0.2,1.6,0.6,
Cassius Winston,WAS,24,7,1,6,5.6,0.0,0.0,0.0,0.3,2.0,1.7,1.6,5.7,0.0,0.1,1.3,0.6,
Elfrid Payton,PHX,28,50,39,11,11.0,0.3,0.4,0.1,2.4,4.0,2.9,2.8,9.4,0.1,0.6,0.8,0.6,
Elijah Hughes,POR,24,36,15,21,12.1,0.7,0.3,0.6,0.9,5.6,4.1,4.4,13.1,0.2,0.1,1.1,0.6,
Admiral Schofield,ORL,25,38,10,28,12.3,0.5,0.2,0.3,1.3,4.6,3.7,3.0,11.9,0.1,0.1,1.5,0.6,
Markus Howard,DEN,23,31,17,14,5.7,0.9,0.3,0.8,0.5,1.4,1.3,1.7,6.0,0.0,0.3,0.5,0.5,
Aaron Nesmith,BOS,22,52,32,20,11.0,0.6,0.4,0.5,1.3,4.2,3.1,2.8,9.8,0.1,0.0,1.3,0.5,
Keifer Sykes,IND,28,32,6,26,17.7,1.4,0.3,1.0,1.9,6.5,4.7,4.3,18.9,0.1,0.2,1.6,0.5,
Juancho Hernangomez,UTA,26,40,20,20,11.1,0.5,0.9,0.4,1.0,4.2,4.2,3.3,10.8,0.3,0.2,0.6,0.5,
KZ Okpala,MIA,23,21,14,7,11.6,0.5,0.2,0.3,1.9,4.0,3.1,3.0,8.9,0.3,0.1,1.2,0.5,
Alize Johnson,NOP,26,23,14,9,7.3,0.3,0.9,0.4,1.5,2.7,2.5,1.8,8.5,0.0,0.3,0.8,0.5,
Quentin Grimes,NYK,22,46,21,25,17.1,1.4,0.7,0.9,0.7,5.2,4.2,3.3,13.8,0.2,0.0,1.6,0.5,
Avery Bradley,LAL,31,62,27,35,22.7,1.2,0.8,0.8,1.5,8.4,6.0,6.9,24.5,0.1,0.3,1.9,0.5,
JT Thor,CHA,19,33,18,15,7.9,0.2,0.4,0.2,0.9,2.8,2.2,2.8,8.5,0.3,0.1,0.8,0.5,
Rodney McGruder,DET,30,51,13,38,14.8,0.8,0.7,0.7,1.3,5.1,3.5,3.9,14.8,0.1,0.3,1.1,0.5,
Anthony Lamb,HOU,24,2,0,2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.5,0.0,0.5,
Carsen Edwards,DET,24,4,1,3,19.8,0.8,0.0,0.5,1.0,8.3,6.5,7.3,27.5,0.0,1.3,1.0,0.5,
Eugene Omoruyi,DAL,25,4,1,3,4.5,0.5,0.3,0.0,0.5,3.5,0.0,1.0,3.0,0.0,0.0,0.5,0.5,
Kessler Edwards,BKN,21,48,22,26,20.6,0.9,0.9,0.8,2.0,7.8,5.3,6.1,20.9,0.5,0.4,1.8,0.5,
Kevin Knox II,ATL,22,30,18,12,7.4,0.6,0.4,0.6,1.0,2.7,2.5,1.5,7.1,0.1,0.1,0.6,0.5,
Moses Wright,DAL,23,4,4,0,3.7,0.8,0.0,0.0,0.5,2.5,0.5,1.3,2.5,0.3,0.0,0.0,0.5,
Nik Stauskas,BOS,28,8,7,1,4.8,0.6,0.5,0.5,0.0,1.0,1.1,1.0,4.0,0.0,0.0,0.1,0.5,
Paris Bass,PHX,26,2,2,0,3.7,1.0,2.0,0.0,2.0,3.0,0.0,3.0,5.0,0.0,1.0,1.0,0.5,
Ryan Arcidiacono,NYK,28,10,8,2,7.6,0.0,0.0,0.0,0.4,3.2,1.1,1.8,5.8,0.0,0.0,0.5,0.5,
Scottie Lewis,CHA,22,2,1,1,3.3,0.0,0.0,0.0,0.0,1.0,2.5,1.0,4.0,0.0,0.0,0.0,0.5,
Shaquille Harrison,BKN,28,2,1,1,11.3,1.0,0.0,1.0,2.0,6.0,1.5,0.0,13.0,0.5,0.5,1.5,0.5,
Trevelin Queen,HOU,25,10,1,9,7.4,1.2,0.8,1.2,1.2,3.5,0.9,2.1,7.8,0.1,0.0,0.6,0.5,
Xavier Moon,LAC,27,10,7,3,13.7,0.9,0.4,0.6,0.8,5.3,6.6,2.9,16.0,0.3,0.3,0.9,0.5,
Sandro Mamukelashvili,MIL,22,41,22,19,9.9,0.3,0.7,0.1,1.7,4.0,3.3,4.0,10.8,0.2,0.2,0.7,0.5,
Leandro Bolmaro,MIN,21,35,19,16,6.9,0.1,0.2,0.3,0.7,2.4,1.3,1.5,5.8,0.0,0.0,0.7,0.5,
Svi Mykhailiuk,TOR,24,56,29,27,12.8,1.0,0.7,1.0,1.5,4.1,4.4,3.0,11.6,0.1,0.2,1.0,0.5,
Malik Beasley,MIN,25,79,46,33,25.0,2.2,1.6,2.0,1.7,8.4,7.2,7.4,23.7,0.2,0.4,1.1,0.5,
Jahmi'us Ramsey,SAC,20,19,2,17,7.0,0.6,0.8,0.5,1.5,2.7,2.4,2.3,7.6,0.1,0.2,0.5,0.5,
Devontae Cacok,SAS,25,15,5,10,8.1,0.9,0.4,0.3,2.8,2.0,1.7,0.9,7.5,0.5,0.1,1.1,0.5,
Udonis Haslem,MIA,41,13,10,3,6.4,0.3,0.3,0.0,1.4,1.5,1.2,1.9,4.3,0.1,0.2,1.2,0.5,
Quinndary Weatherspoon,GSW,25,11,8,3,6.7,0.4,0.4,0.5,2.0,2.4,1.6,2.0,5.5,0.1,0.0,1.4,0.5,
Jay Scrubb,LAC,21,18,8,10,6.7,0.3,0.2,0.5,1.0,3.0,2.3,2.2,7.3,0.2,0.0,0.5,0.4,
Chris Chiozza,GSW,26,34,21,13,10.9,0.5,0.4,0.2,0.3,4.5,2.7,2.6,9.8,0.0,0.2,0.9,0.4,
Langston Galloway,MIL,30,7,4,3,15.2,0.6,0.0,0.3,0.9,5.4,4.6,3.6,16.3,0.0,0.1,1.0,0.4,
RJ Nembhard Jr.,CLE,23,14,6,8,4.5,0.0,0.1,0.0,0.9,1.6,1.1,0.5,4.4,0.0,0.2,0.1,0.4,
Armoni Brooks,TOR,23,54,20,34,15.6,0.8,0.6,0.4,0.8,5.6,4.4,4.5,15.7,0.2,0.1,1.4,0.4,
Troy Brown Jr.,CHI,22,66,37,29,16.0,0.6,0.5,0.6,1.7,5.6,4.0,4.5,17.0,0.1,0.4,0.9,0.4,
Ish Wainright,PHX,27,45,36,9,8.0,0.2,0.6,0.2,1.0,3.0,1.6,1.4,6.5,0.1,0.2,1.1,0.4,
Theo Pinson,DAL,26,19,14,5,7.8,0.5,0.2,0.1,0.2,3.0,1.6,2.3,8.4,0.1,0.0,0.6,0.4,
Jabari Parker,BOS,27,12,4,8,9.4,0.4,0.8,0.8,1.3,3.0,2.9,2.3,10.3,0.1,0.2,1.1,0.4,
Kevin Pangos,CLE,29,24,16,8,6.9,0.2,0.0,0.0,0.7,2.1,2.0,1.8,6.9,0.0,0.0,0.5,0.4,
Marcus Garrett,MIA,23,12,11,1,10.7,0.5,0.2,0.3,0.5,3.8,3.4,2.4,8.5,0.3,0.3,1.3,0.4,
Alfonzo McKinnie,CHI,29,17,8,9,12.1,0.8,0.6,0.8,1.5,3.5,3.2,2.8,15.1,0.2,0.2,1.5,0.4,
